Sample_ID,short_ENA_accession,short_Genbank_accession,Year of Isolation,Month of Isolation,ST_Shortened,Collection,Source,Location,Province,ProvinceLocation,Province_Capital_Latitude,Province_Capital_Longitutde,Hospital,MIC_ESBL,ESBL,MIC_Ampicillin,Ampicillin,MIC_Amoxicillin/Clavulanic Acid,Amoxicillin/Clavulanic Acid,MIC_Piperacillin/Tazobactam,Piperacillin/Tazobactam,MIC_Cefalotin,Cefalotin,MIC_Cefoxitin,Cefoxitin,MIC_Ceftazidime,Ceftazidime,MIC_Ceftriaxone,Ceftriaxone,MIC_Cefepime,Cefepime,MIC_Imipenem,Imipenem,MIC_Meropenem,Meropenem,MIC_Amikacin,Amikacin,MIC_Gentamicin,Gentamicin,MIC_Ciprofloxacin,Ciprofloxacin,MIC_Tigecycline,Tigecycline,MIC_Nitrofurantoin,Nitrofurantoin,MIC_Trimethoprim/ Sulfamethoxazole,Trimethoprim/ Sulfamethoxazole
JZ20,ERR12178137,SAMN38154041,2022,2,ST147,MOH,BC,Jazan,Jazan,SouthWest,16.89354904,42.57163172,JZRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,<= 2,S,<= 1,S,>= 4,R,>= 8,R,>= 512,R,>= 320,R
TK9,ERR12178281,SAMN38154143,2022,7,ST147,MOH,BC,Tabuk,Tabuk,NorthWest,28.38719742,36.56521253,TKHA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,32,I,<= 1,S,>= 4,R,>= 8,R,256,R,<= 20,S
TK3,ERR12055250,SAMN37449927,2022,7,ST147,MOH,BC,Tabuk,Tabuk,NorthWest,28.38719742,36.56521253,TKHA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,256,R,>= 320,R
TK149,ERR12178276,SAMN38154142,2023,2,ST147,MOH,BC,Tabuk,Tabuk,NorthWest,28.38719742,36.56521253,TKHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,R,NA,R,NA,R,NA,R,NA,R,NA,NA,NA,s,NA,NA,NA,NA
S54,ERR12178247,SAMN38154137,2022,1,ST147,MOH,BC,Sakaka,AlJawf,North,29.88333549,40.11210099,SHD,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,16,*I,<= 1,S,>= 4,R,<= 0.5,S,256,R,<= 20,S
S12,ERR12178136,SAMN38154132,2022,3,ST147,MOH,BC,Sakaka,AlJawf,North,29.88333549,40.11210099,SHB,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,8,R,>= 16,R,16,*I,<= 1,S,>= 4,R,1,S,256,R,40,S
S10,ERR12178151,SAMN38154131,2022,3,ST147,MOH,BC,Sakaka,AlJawf,North,29.88333549,40.11210099,SHB,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,16,R,8,R,>= 16,R,16,*I,<= 1,S,>= 4,R,<= 0.5,S,256,R,<= 20,S
R70,ERR12178126,SAMN38154128,2022,3,ST147,MOH,BC,Riyadh,Riyadh,Center,24.72857381,46.68651858,RRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,4,*R,>= 64,R,>= 64,R,8,R,>= 16,R,>= 64,R,<= 1,S,>= 4,R,4,I,256,R,>= 320,R
R311,ERR12178255,SAMN38154118,2022,4,ST147,MOH,BC,Riyadh,Riyadh,Center,24.72857381,46.68651858,RRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,8,I,>= 4,R,2,S,256,R,>= 320,R
R3,ERR12178280,SAMN38154117,2022,2,ST147,MOH,BC,Riyadh,Riyadh,Center,24.72857381,46.68651858,RRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,8,R,>= 16,R,>= 64,R,2,S,>= 4,R,>= 8,R,256,R,>= 320,R
R1356,ERR12178273,SAMN38154111,2023,1,ST147,MOH,BC,Riyadh,Riyadh,Center,24.72857381,46.68651858,RRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,2,S,256,R,<= 20,S
R1298,ERR12055297,SAMN37449910,2022,10,ST147,MOH,BC,Riyadh,Riyadh,Center,24.72857381,46.68651858,RRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,4,*R,>= 64,R,>= 64,R,8,R,>= 16,R,32,I,<= 1,S,>= 4,R,2,S,256,R,>= 320,R
R1165,ERR12178205,SAMN38154105,2022,9,ST147,MOH,BC,Riyadh,Riyadh,Center,24.72857381,46.68651858,RRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,4,*R,>= 64,R,>= 64,R,8,R,>= 16,R,>= 64,R,2,S,>= 4,R,4,I,256,R,>= 320,R
Q213,ERR12178167,SAMN38154099,2022,12,ST147,MOH,BC,AlQassim,AlQassim,Center,26.36764728,43.972776,QHB,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,1*,*I,>= 16,R,>= 64,R,>= 16,R,>= 4,R,2,S,256,R,>= 320,R
Q204,ERR12055259,SAMN37449901,2022,12,ST147,MOH,BC,AlQassim,AlQassim,Center,26.36764728,43.972776,QHB,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,4,*R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,>= 8,R,>= 512,R,>= 320,R
